user_pseudo_id,total_usd_revenue
047e3be96ef4644a276819508d419e03,36.690000000000005
28fd54751e87baeae0b4c1a3a0f50071,36.497972
7d47b3e8823c663a2e14d50bce877b0f,34.98
f7c127db5b4d8ccce3aecf6fd02c725f,29.99
b28c932785e81bd76eba90e733dee41d,28.688463000000002
02dcc16d208362496d66e0128fe7112d,20.48
fb589c414a3038680a26044d2ac44861,18.99
58caa798c263172c3d8219c6f98ccdf1,17.215375
4b9ae32e70c671945a00a4a3d5b57a3e,10.881123
be39f97f9847602618aabc9dd628b354,7.970000000000001
3d64e276dcdb02c8121622cbcac7ed78,7.084788999999999
14f3355b82c7c5502d20f39c8995c4eb,6.879259
4c91b4e4b50db590800ca6a6b0c9b962,6.115884
cdb28a39097db768a4a160abd7b5b35c,5.774621
f0f5536c001ec847844cb4c04c22fc12,5.730802
913d239e4b73952e688524274695dd92,5.719318
762ccaf23ea6b248899ee4f3b652c625,5.50111
eddf8c9fd6d9b96b41fda43db320515b,5.50111
aab44351ce41d3ba85fb98dd99c45ddd,5.369661
a936560c922dd7f43a3102f76bf69a33,5.365275
cd838b9d694e26c53bd0e99ad1b409e2,5.167082000000001
652b6dae57344e09f4a1d8c8bd77b60b,4.99
c3539e9250138926f916e8c6a43c7b53,4.99
183d3f73a83a8979643a8434c07df3ed,4.57086
d1873f99dee1554bf4c66cf5c7947bac,4.066822
5d382193d63f2c46e4248b66f2dd2f62,3.99
1a16e75a4f09ad13103ca1a21791b82b,3.500374
19db53a9c0b3fbf77c984a3ab383df13,3.433887
f7f5146b8339ec2897453b99912b8124,3.348254
8134aa7210dfd9b20f8f3500c60ca3c7,3.0249379999999997
d794b392e8be643015baecf8e017e991,2.99
26850782102e5ecf6a6e732b25520031,2.98
389ce4f7ed5d57faff86bcca198fba68,2.88731
9401b9b4406293e3f71f4972bc1db48b,2.28543
996c928c91e3a3c1fe1b8fb0d6e76e6e,2.1761179999999998
0595048f3ff5e90f1f5f1e95b433ae7c,1.60017
00ec26c5596280c78d6666e5bea77c0f,1.233194
ef15832ceb26db31eda0db507ca3c64d,1.136973
632cac1cddc362ad6c9ba55f8091f8b2,1.071783
bdea20d48409febde3ea859d4345f947,1.064135
e7902479ed93220ebab8fbccdbf02b7a,1.022127
5fb77ec7ce6091a46e6d67e22d82dac5,0.99
da95a14f805cbbba1e5e5abc067088b9,0.927829
f52f08422943644b51afc5f2313dbf9b,0.884945
a0d4a2f85eb55e87fc237c5e6c11de4b,0.793361
859c93fc8b8c9d39a132a64aed567cfd,0.792436
f000f554695d7dd90eccb19456d78872,0.687841
05a37d9f92e0fef4c274b77e6567ef24,0.585418
8eb2fe1cd69bb00fb1bc3161ad305603,0.459295
5008255c0abf87f1063d259780eda23e,0.227038
