user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,total_ad_revenue,total_iap_revenue,total_revenue
98a15abaa6703b3da79900824d89a5a0,42.0,0.0,0.1473831385374069,0.0,0.1111804917454719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25856363028287876,0.0,0.25856363028287876
19b30e0bd6dcbb55dc93a7698b1806e3,42.0,1.0,0.2134724827483296,0.0,0.0472581267822533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607306095305829,0.0,0.2607306095305829
79f4452ed1184f257c0fc9f1bd18bbf3,42.0,0.0,0.0430798940360546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0430798940360546,0.0,0.0430798940360546
d19ded806ab09c3e2d9f851a0c50dd85,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451a52af44cd36b940310185b1ad94fb,42.0,0.0,0.0252224914729595,0.0,0.0471506472676992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723731387406587,0.0,0.0723731387406587
624ad8570eeb6f66627e560b5c6cdc98,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64077d71c4a0e5e3a7a294c1335f211b,42.0,1.0,0.4345763074234128,0.0,0.1808455106802284,0.0,0.0244776718318462,0.0,0.0,0.0,0.008276323787868,0.0,0.6481758137233554,0.0,0.6481758137233554
caf563104de27f023f641927e9a78890,42.0,0.0,0.0005745946546085,0.0,0.0004423149512149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010169096058234,0.0,0.0010169096058234
b0a892821ee8006cc96387c0541be691,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788371b7b83d0f0f42d104dd64063066,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7e066e26847f8df02fea370c45b37eab,42.0,1.0,0.0745471715927124,0.0,0.0692413551732897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14378852676600212,0.0,0.14378852676600212
48961cac74a0560c4fd25d651f2783f7,42.0,1.0,0.002551200101152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002551200101152,0.0,0.002551200101152
7efd8cadaa7e0c9bd800b17a4a39620e,42.0,0.0,0.0340393283986486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340393283986486,0.0,0.0340393283986486
c110d1e182c4b9c97a49251820e36180,42.0,1.0,0.0068302378058433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068302378058433,0.0,0.0068302378058433
3bfec152902e14bc2c59d918b802ca4f,42.0,1.0,0.4466249942779541,0.0,0.4350310862064361,0.0,0.0,0.0,0.5037903189659119,0.0,0.0,0.0,1.3854463994503021,0.0,1.3854463994503021
93c86ac065e509db53f1226914d51eb9,42.0,1.0,0.0767757222056388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767757222056388,0.0,0.0767757222056388
ede05e63eb32c4d2a24a941e5ec9eb98,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424505360424518,0.0,0.0,0.0,0.0424505360424518,0.0,0.0424505360424518
