user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,total_ad_revenue,total_iap_revenue,total_revenue
0978e08b36032e6bc47ac3238b74f641,42.0,1.0,0.2460671181324869,0.0,0.0,0.0,0.2229301428887993,0.0,0.177742057479918,0.0,0.0985662024468183,0.0,0.0,0.0,0.0,0.0,0.7453055209480226,0.0,0.7453055209480226
299874801345f623f20e7323a7bb2bef,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41807665071931a49f4a30bdd4ce7e3b,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c49b43416d8251282d2118c3d7983a72,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e55dc36da5bbc09b581e9573835a55d2,42.0,0.0,0.0,0.0,0.0040358318947255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040358318947255,0.0,0.0040358318947255
07f219c71cca1c65f6807326c8bb7373,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147455397a966d2e25343afd084a2c1c,42.0,0.0,0.5672651393106207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5672651393106207,0.0,0.5672651393106207
45b01ae54705d84b4d281a7323aa0bd6,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95d09637b3cc80b97f53f297cea55a95,42.0,0.0,0.0256066489964723,0.0,0.0,0.0,0.6985985636711121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7242052126675843,0.0,0.7242052126675843
dc86e453a05e89a7f6b8ba378fa26abb,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
