user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,total_ad_revenue,total_iap_revenue,total_revenue
00c68355c19b9080fcc68d6038dc8cd2,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02d4f54aa8dbac8ea940964250b851f0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0ec1b096bc0fe8d2ac8ac6f60e17a4b7,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14944dff3d433b5fa8f86b365f9a769c,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ef0eb4caa41efc6043ed4b1e15bdf99,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3fa5f11e7eed9f561e2ab14303179373,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5a31b08eba3b554004a3c0f627f48111,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663c391f846b58dc22ed133e75d49976,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6b224fcc0faec97be8d44c0cc757f7e8,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6f4952487a9826f51c1f1b42f625697b,42.0,1.0,0.592950165271759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592950165271759,0.0,0.592950165271759
a436535e2274de3af7c4d68ce43cffb4,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b46710c72ab6ced7eff736837c3fff03,42.0,0.0,0.1213715781923383,0.0,0.0056732178782112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270447960705495,0.0,0.1270447960705495
dd7a3a9b13d8bb99c434b93e930583f1,42.0,1.0,0.2162321507930755,0.0,0.0321580581367015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248390208929777,0.0,0.248390208929777
edf12031f47390f964f8a89737edc34b,42.0,1.0,0.0409652778762392,0.0,0.0239706852589733,0.0,0.0237252209626603,0.0,0.0033807379659265,0.0,0.0082037005922757,0.0,0.0098819871782325,0.0,0.1101276098343075,0.0,0.1101276098343075
d1d98917e38986c2911c4a95fd5c0a55,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d034d252f9776586245fe025d5fd2dc9,42.0,0.0,0.0015887000481598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015887000481598,0.0,0.0015887000481598
1d1a3fc30243201fe89d371246e253d8,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3376f4d2c3bbe910b686dd1eb81985ff,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
