user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,total_ad_revenue,total_iap_revenue,total_revenue
08e71d2eab68e25dcd44b894bcf720bb,42.0,1.0,0.7225857973098755,0.0,0.0,0.0,0.0,0.0,0.7225857973098755,0.0,0.7225857973098755
256afe1096b26fb063c27aef506ff261,42.0,1.0,0.0232250001281499,0.0,0.2200385769829154,0.0,0.0,0.0,0.2432635771110653,0.0,0.2432635771110653
2ba7d6b465240cd6420d360494d3b8da,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cd2b036800879461baa289a0ba751dc,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3a3a59a2e6e01edeec264df9770f19f6,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3cac638237dab8093e1e269ccbc904ce,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5874553bd8fae0702d2c44a88889dca1,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62fed55967b158e7b78b871621b50b25,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65fb781d88e87ef61e61250cc6bdbbdc,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a849d1df44278ba7e0483d282b5aa44,42.0,0.0,0.6131233554333448,0.0,0.0,0.0,0.0,0.0,0.6131233554333448,0.0,0.6131233554333448
7263740a6119141bdce1f93c6879d4f9,42.0,0.0,0.1243088525152416,0.0,0.0166130369907477,0.0,0.0,0.0,0.1409218895059893,0.0,0.1409218895059893
78e6f7f719ef47e8bafa1518a56741ca,42.0,0.0,0.0352707230485975,0.0,0.0,0.0,0.0,0.0,0.0352707230485975,0.0,0.0352707230485975
7e24f281a00043a2d7512372400c2090,42.0,0.0,0.0879341926774941,0.0,0.0,0.0,0.0,0.0,0.0879341926774941,0.0,0.0879341926774941
85907fb64509c8f7ef6d41a663adc141,42.0,1.0,0.0841054171323776,0.0,0.0,0.0,0.0,0.0,0.0841054171323776,0.0,0.0841054171323776
8d0e32fbb47831199dc7ddc744ed9855,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9b5ede368283978d54fae19bce216c49,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab5eeb560be39d5f20c57107e4910440,42.0,0.0,0.0339548845076933,0.0,0.0286185705626849,0.0,0.0134618971342206,0.0,0.07603535220459881,0.0,0.07603535220459881
af4a8a0f0ddc02ee195acd189fa4ecea,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b024d970430f1196253f5c3f85a98be1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b24e15f708dea1cabecdcfbdd3d3e1cd,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b40366185d1822a4c9b052c601d089a1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4417a7cea9dc6a8c3eda91ead5c7922,42.0,0.0,0.8537996578961611,0.0,0.1960714049637317,0.0,0.7175014493986964,0.0,1.7673725122585893,0.0,1.7673725122585893
bf6e4615b8548ab5c22da70cf5b3b76c,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c0eabadbe25a3cf2eac3847a516ed17e,42.0,0.0,4.1641930397599936,0.0,0.7181622441858053,0.0,0.6915515931323171,0.0,5.573906877078116,0.0,5.573906877078116
d225032e87d283925661b2eda0c74c54,42.0,1.0,0.0274122087284922,0.0,0.0,0.0,0.0,0.0,0.0274122087284922,0.0,0.0274122087284922
d798391258bcb89ffbeccf924561061c,42.0,0.0,0.2152886167168617,0.0,0.0,0.0,0.0,0.0,0.2152886167168617,0.0,0.2152886167168617
