user_pseudo_id,revenue_sum,ad_impression_count,max_time_in_game,max_session_number,max_world,max_level
011a12bf72c9fff35d9580af7cc794fc,0.014278647257015109,12,1063988.0,9,,
01fdbef96f8bc7d041978b467dc473f1,0.01270458847284317,1,,12,,
05d50e9d126bd733c4bc64fab2144ee1,0.08888046653009951,20,111025.0,18,,
07568599d3083b10b8c8f95c708aca2a,0.5363674610853195,2,2553232.0,1,,
08849d9dd2e2f1f48eec398cad812156,0.05263606086373329,1,2520537.0,1,,
0a63fd5fe0cfaea0a5d3a0a94a6c5041,0.015505853109061718,1,600023.0,1,,
0af837e48fa53a99b9a8c67e08f9c79a,0.015544597990810871,3,8225529.0,1,,
0bc56b25c9e216b398868b15083913a8,0.08658001443836838,36,3067047.0,2,,
0e4b633b073b34795944555e18fa29f9,0.011213696794584394,6,5822640.0,1,,
0f1619eeec5a706de6467f04d1ee21f4,0.21370682399719954,20,1262744.0,4,,
1072d0a2b1247f0a982915f238eaab05,0.10052827512845397,12,7847.0,3,,
12e5c0fcbb363d37932936cfdeeb17b8,0.1760292872786522,2,5830710.0,1,,
1400d86d11dd1a77bae27117af70338d,0.014431013725697994,1,333.0,2,,
1823962e67e9c78b178e2b1b94575705,1.4168049916625023,18,5445934.0,1,,
18f4b2208d7704a56b858b3a17fb8210,0.028521781787276268,13,6114105.0,19,,
1D730315CD4E480092F587D7FC856C21,0.09000929199999999,2,192.0,2,,
1a0b462dac23c9669bb21c0c87296005,0.030125116929411888,1,22676192.0,1,,
1e1f7d4a6191967495635b0171de14ab,0.01469341292977333,1,393644.0,1,,
2286ee79823f6bf98f43e3650ccfc26a,0.006552552338689566,1,565.0,1,,
228e69687086390e9108f6918d1e370b,0.02421170100569725,1,4939173.0,1,,
29eb08bd0d4f1bae7540f6407b76eb22,1.9596502780914307,3,16802876.0,1,,
2a23481e2b0aa34951821f69511ddafb,0.23180000483989716,1,1585508.0,1,,
2a35083dab3c9b786fab340567d4ba54,0.09739877632819116,21,,11,,
2d0a971feb8731a55dcac79ff5d749d2,0.08328025043010712,1,236.0,2,,
2da689bb68ecf6c8b724747866594430,0.005114578176289797,1,423.0,4,,
2e81af47a5d990f9452dddb8a077ed00,0.9855332970619202,1,20485483.0,1,,
31f19cda7805b4f9c8e7340d536ebaa2,0.005289694992825389,2,849.0,2,,
34d683cef8fb8f7267f13a9834d47eec,0.038746099919080734,1,275.0,1,,
366b69618bde5366d1735804f06cec17,2.0116096138954163,2,12389677.0,1,,
3be9fe26ec02a5d4761a62088712ab42,0.035500000230968,3,525.0,1,,
