user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,total_ad_revenue,total_iap_revenue,total_revenue,AdRev_D7,IAPRev_D7
b76f7552ddbf6ec8198315dda1b12ffe,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2403d10f2035faa120f0ce9d4f7a5f5,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f4c686c07271b2f3dc891b14bb454a03,46.0,1.0,0.5084703295724466,0.0,0.4034943068400025,0.0,0.3534119067480787,0.0,0.1082272727508097,0.0,0.3664701865054667,0.0,0.3227053388254717,0.0,0.2828256010543555,0.0,2.3456049422966316,0.0,2.3456049422966316,0.0,0.0
f6f7d1277f482ad044460b85d6a2158f,46.0,1.0,0.3696199506521225,0.0,0.0,0.0,0.0847611874341964,0.0,0.3409145176410675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7952956557273865,0.0,0.7952956557273865,0.0,0.0
b0529e23d11c55878d48eaac919986e3,46.0,1.0,0.0,0.0,0.0104045360349118,0.0,0.0119627596577629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022367295692674698,0.0,0.022367295692674698,0.0,0.0
48f68d55b77882b6b653989a5d13640f,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d6d0d5dc5627b6940d6333f20ad1d63,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51f88c0332c8d989e6d419c479de0036,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2375854d193157d1c13b369443bfcb6a,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7257adff4bb48523cb4142f8d7b4221a,46.0,0.0,0.0,0.0,0.00725660007447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00725660007447,0.0,0.00725660007447,0.0,0.0
11827c988779051fbd888bf8a2bf6a67,46.0,0.0,0.0,0.0,0.1631969511508941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1631969511508941,0.0,0.1631969511508941,0.0,0.0
24b95a00996490d227a8c70585c38e9b,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7d437a337df5913e8f359275139fcf0c,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164cd3430154d3a371406265d6c09f05,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52876c5d05e99b06e117d7c885497985,46.0,1.0,0.1395050212740898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1395050212740898,0.0,0.1395050212740898,0.0,0.0
6dcb8b0472f6a22d1a284e3446ed23e2,46.0,0.0,0.0806735977530479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806735977530479,0.0,0.0806735977530479,0.0,0.0
233b9b7ab813af3b1cb79f11ab4ceb72,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0365eada0d128a922635cdc1ec7383b2,46.0,0.0,0.0041772541590034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041772541590034,0.0,0.0041772541590034,0.0,0.0
20965a194856d8047a84a49ef83ae4b0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c43b67bd56634bf4066879905f4c24c,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4dfa3bb725d59f08efd104f8d1626e5f,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9950e12dacce015030783a2ff933dd33,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4b7ab074cd75210d1a32816a4649a501,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8b7967fd09a2b1e7fcc83a67b70ef885,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98084e573591c3b3f002ada1245b470e,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f44bc07d3fa298a9c527084f92089f3a,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36e7aed749305b5c614fc62f9c2cb349,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3d7d6542abe7259245b35e5ed0b09394,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bfb025070506199ac01c890eba780487,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530d3a04fb459c74d6e3dcf3500e8690,46.0,0.0,0.045949999243021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045949999243021,0.0,0.045949999243021,0.0,0.0
4829374c22fa60a6f7428f0be507b312,46.0,1.0,0.049916211515665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049916211515665,0.0,0.049916211515665,0.0,0.0
2b2e209d537d79cdfe267b84f4f8e581,46.0,0.0,0.8154458701610565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8154458701610565,0.0,0.8154458701610565,0.0,0.0
1d521039aad60560db52a968c410f38c,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234c4044b1be4ae4479e6cedc1ce95c0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7614aa629f08cf2fa70fe1c94f8c5b6e,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98db9eff9a705e308dc42492a3e766f3,46.0,1.0,0.0669268444180488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0669268444180488,0.0,0.0669268444180488,0.0,0.0
a99af4b32aeeb085edfba0ea70edb82b,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5e7fec07751ae0e03020cf4c503482e3,46.0,1.0,0.022919999435544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022919999435544,0.0,0.022919999435544,0.0,0.0
c80a52028ed934a08d8ac230641d96ac,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00eff6edd2f28d39ca6e790b1cdd737f,46.0,0.0,0.0136102642863988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136102642863988,0.0,0.0136102642863988,0.0,0.0
