user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,AdRev_D7,IAPRev_D7,AdRev_D8,IAPRev_D8,AdRev_D9,IAPRev_D9,AdRev_D10,IAPRev_D10,AdRev_D11,IAPRev_D11,AdRev_D12,IAPRev_D12,total_ad_revenue,total_iap_revenue,total_revenue
1f8e3fb988e9950192545a1bafbd1abf,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4360bacbd3b72e5d0a9e8572d7f3d72a,46.0,0.0,0.0,0.0,0.2613239288330078,0.0,0.7985049113631248,0.0,0.0444329939782619,0.0,0.0,0.0,0.3056762591004371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274666778743267,0.0,0.0,0.0,1.6846048720180988,0.0,1.6846048720180988
7e782415887985b22334bd3762ee5fb9,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9896c6d700648fff1237707f1b571473,46.0,1.0,0.0752144902944564,0.0,0.1307337004691362,0.0,0.0209860447794199,0.0,0.0147288683801889,0.0,0.0,0.0,0.0158941131085157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231654793024063,0.0,0.0,0.0,0.2807226963341234,0.0,0.2807226963341234
9fd2d3e0b1371a6ae16e69cf5b096eaf,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a0655b3683292d80bb02d3a6827757cc,46.0,0.0,2.1157391741871834,0.0,0.0,0.0,0.0,0.0,0.3943951427936554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178783848881721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.628012701869011,0.0,2.628012701869011
b5c7c7d5bda4d8565c5002fa74519f72,46.0,0.0,0.9310450106859208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9310450106859208,0.0,0.9310450106859208
e8d6f0de20d15c93a1bb039911ac6472,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f37de9227b00fa180226614be01e11fa,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fe79bcb7ca421a2df9648205c7681b11,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
