user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,total_ad_revenue,total_iap_revenue,total_revenue
feb595d75a517291c59358f44bd63fc8,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306725db2f9ecb0acc39fad0908e80bd,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d3d63a8948a47f9c56b25582aa6e5a08,45.0,1.0,0.0812544096261262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812544096261262,0.0,0.0812544096261262
f999e10b70e7541f5c1a63bd1f966ef7,45.0,0.0,0.0695515000261366,0.0,0.0203174226917326,0.0,0.0261379959993064,0.0,0.0,0.0,0.1160069187171756,0.0,0.1160069187171756
069951a35664a43cff7426ee0d65e1ee,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0688a2c9e0ed9f83258fad8cd5841535,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95d6fec87812c5349d7555b73c72076a,45.0,1.0,0.0162562895566225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0162562895566225,0.0,0.0162562895566225
34461ee4225e33c37ea41c7d18d45604,45.0,1.0,0.007817056030035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007817056030035,0.0,0.007817056030035
4a9a09ba2edc438718278f4342dc068d,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6e94649aad6581c02944d3584c40005e,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9e6c9f4a56e68041698efe8c8e3d9c76,45.0,1.0,0.4275434503797441,0.0,0.3300360434222966,0.0,0.2457340925466269,0.0,0.0380085511133074,0.0,1.041322137461975,0.0,1.041322137461975
defdb77e96368f0219e1320f92fc3a7d,45.0,1.0,4.331118658185005,0.0,3.817831441760063,0.0,2.4646865725517277,0.0,1.7930537834763527,0.0,12.406690455973148,0.0,12.406690455973148
39ce17083c91e3372243cf4b4af41b87,45.0,1.0,0.2160221859812736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2160221859812736,0.0,0.2160221859812736
38c2ec894b189476f23ec891d43f8376,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00e3bbf8d4c4d7eb61a3ddfb21aa3921,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0ccdca3e262d627ee4081db99e053edc,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23694bd6eec966c67fa02ffeb3ced7af,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3987071d4071adeb5c322424d2265c9f,45.0,0.0,0.2962533757090568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962533757090568,0.0,0.2962533757090568
89fbb74ff726b4fc411297999e75e53f,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f1f02e3baec1ea44c8d8672cf8b566ac,45.0,0.0,0.7439345614984632,0.0,0.0322880437597632,0.0,0.0208801529370248,0.0,0.0199999995529651,0.0,0.8171027577482163,0.0,0.8171027577482163
f750174d5538773244d904bd5fccaca4,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3093d0e7de2587f7f438f76d501a0bb1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575fffafc82af533c3f063d0e0e0b3d7,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637942fd8ba6e76a8848489d94686532,45.0,1.0,0.0165907498449087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0165907498449087,0.0,0.0165907498449087
74fd958fbcb25bb6928c336df95c5ba6,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e64ad3a9a96cd93f64f02304049188d0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f508e8f1e74b80d4b5e5cfadf0392a69,45.0,1.0,0.1137298159301281,0.0,0.0124004348181188,0.0,0.0,0.0,0.0488456599414348,0.0,0.1749759106896817,0.0,0.1749759106896817
501c60f18dd044ad6767e2206d79a992,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57be04fa78282531a5704d154b0f54b7,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b31da195b34d607c432c540cf6780c9d,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee7ea5ed1ec104f18a24a208057bc119,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
