user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,AdRev_D7,IAPRev_D7,AdRev_D8,IAPRev_D8,total_ad_revenue,total_iap_revenue,total_revenue
613b10dabed33955897e1d099e63c881,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96febbddc02fc42d231518905bd38ec0,45.0,1.0,0.0364089608192443,0.0,0.0,0.0,0.067466951906681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1038759127259253,0.0,0.1038759127259253
616208aab9ab25a2b14d23b1c753e6bf,45.0,1.0,1.4411933422088623,0.0,0.0,0.0,1.5769833326339722,0.0,0.0,0.0,7.05894935131073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.077126026153564,0.0,10.077126026153564
f492a09f4f5ced55ec3adc8cd6c36256,45.0,1.0,16.096612870693207,6.970000000000001,0.7677358984947205,0.0,1.4475404024124146,0.0,0.5459406226873398,0.0,0.751217246055603,0.0,2.2275331020355225,0.0,3.1064438819885254,0.0,1.1100000143051147,0.0,0.0,0.0,26.053024038672447,6.970000000000001,33.023024038672446
3d79f070dbeb01ef42f015865e0471c3,45.0,0.0,0.0222375001758337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222375001758337,0.0,0.0222375001758337
7306b7b84517e3b9180d93d3527c8134,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2c237aa9784b12d29a63110f185b3de,45.0,1.0,0.0,0.0,1.0779745504260063,0.0,0.3398753143846988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4178498648107052,0.0,1.4178498648107052
12d0a83d3948ff3ad029c4390e30ff2e,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960bc7890863b85402986e009122a87,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2c59e283ad826ec77135b47c743aae0d,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c62d5faa43d605cc708f56827b966dd,45.0,0.0,0.0836981013417244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836981013417244,0.0,0.0836981013417244
7cd971a6b10c2810e162c090ace9f941,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9fa044c644a7bc6980349b71bed62c08,45.0,1.0,2.2310919165611267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2310919165611267,0.0,2.2310919165611267
a904dc61149fffb9a09914594d6a2428,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ec8d7ba1eaeb87baac4ff27253d91060,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f748d0824f4b3fe8e9642d7f4c24899d,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250066608190536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1250066608190536,0.0,0.1250066608190536
295cd376554486934e117f560533840e,45.0,0.0,0.0240250006318092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0240250006318092,0.0,0.0240250006318092
3cef85016038a449a8707285f39e70bd,45.0,0.0,0.1432601809501648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1432601809501648,0.0,0.1432601809501648
5eb8b78cce6014341e644d7b10452eab,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c02c493b4ae41c90328a40bc86291913,45.0,0.0,0.0085363993421196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085363993421196,0.0,0.0085363993421196
c45a967fe861773cf9e13c8ca10b0344,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f9a0b20d4c7e2dff8cf6a2e93cd557a4,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41bcda9e6036728cdcaaae73c4096953,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d326461c3b6b69f91997d5a2f6e94b73,45.0,1.0,0.1085389107465744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085389107465744,0.0,0.1085389107465744
4345e4e9f6b0881d39d6d7a5cb8f303f,45.0,1.0,0.0,0.0,0.6582067608833313,0.0,4.793979175388813,0.0,2.633820965886116,0.0,0.926588699221611,0.0,0.2726398408412933,0.0,0.99174627289176,0.0,0.0,0.0,0.0,0.0,10.276981715112925,0.0,10.276981715112925
d00f79e7a1df3aaa30b0fbd500820b14,45.0,0.0,0.3000015262514353,0.0,0.0235095582902431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3235110845416784,0.0,0.3235110845416784
d1c1752ffab871dca5e715d49bac7228,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
