user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,AdRev_D1,IAPRev_D1,AdRev_D2,IAPRev_D2,AdRev_D3,IAPRev_D3,AdRev_D4,IAPRev_D4,AdRev_D5,IAPRev_D5,AdRev_D6,IAPRev_D6,AdRev_D7,IAPRev_D7,total_ad_revenue,total_iap_revenue,total_revenue
d034ab9c16b5c979d3a79589c516dab1,45.0,1.0,0.7308703288435936,1.164421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308703288435936,1.164421,1.8952913288435935
d5b185c02bb1b91a33b8f73b46cd2c33,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e8cba6934cce18dc038c980df5740341,45.0,1.0,0.0984688363969326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0984688363969326,0.0,0.0984688363969326
c54cdcb5ecebb3322ed47188511760b9,45.0,0.0,0.0,0.872667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.872667,0.872667
09296c72e75c42c53aaa7116437cc3c3,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52af1e5d15e434f980526b52a7ae07b7,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c68f6b63fba1b1c13df0f645930aca8,45.0,0.0,0.5739777870476246,0.0,0.1750465333461761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0619872845709323,0.0,0.0,0.0,0.811011604964733,0.0,0.811011604964733
db6417215cca3c9a40bd485d03e61118,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46b0fb4accd91ceb1a2c21bac0e81063,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764daf87151a61d4a10af2a80b73f1b2,45.0,0.0,0.0,0.0,0.0233339332044124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233339332044124,0.0,0.0233339332044124
