user_pseudo_id,experiment_number,experiment_group,AdRev_D0,IAPRev_D0,total_ad_revenue,total_iap_revenue,total_revenue
23dabb5df0cbcdae93c6f50fe5d0aa26,45.0,0.0,0.2999400403350591,0.0,0.2999400403350591,0.0,0.2999400403350591
5f4ed50295f771d428a7122b6cb4fec1,45.0,1.0,0.2975809872150421,0.0,0.2975809872150421,0.0,0.2975809872150421
63c43d4feed63243e26379a29c7b0525,45.0,0.0,0.0,0.0,0.0,0.0,0.0
87aa3772785871ecb1969722525d52dc,45.0,0.0,0.5155859105288982,0.0,0.5155859105288982,0.0,0.5155859105288982
8e29eb2596a5bb3450802b25dc842fdc,45.0,0.0,0.2000637799501419,0.0,0.2000637799501419,0.0,0.2000637799501419
a5aef1398157008ae4a8853461993ee2,45.0,0.0,0.0,0.0,0.0,0.0,0.0
a9169fdf3a0f10d76c03fc3d3ca8bfe3,45.0,1.0,0.0,0.0,0.0,0.0,0.0
aeaa3364b1520c002340882e5050aed8,45.0,0.0,0.0,0.0,0.0,0.0,0.0
c333ed85b223feaa1d4a140f75cb9b1b,45.0,1.0,0.0244455626234412,0.0,0.0244455626234412,0.0,0.0244455626234412
e3a051ac9341b4ab1efe2206fe40065a,45.0,0.0,0.0205089822411537,0.0,0.0205089822411537,0.0,0.0205089822411537
e56e5c79d6a73b7348fa0afe3cb40952,45.0,0.0,0.0,0.0,0.0,0.0,0.0
f1190df63aaf2eaccadb6773c1f5c994,45.0,1.0,0.0,0.0,0.0,0.0,0.0
fc8e8baa10b9714b5306c0305b932620,45.0,1.0,0.0,0.0,0.0,0.0,0.0
fd0ab5b0ff4e888f120a8c2fe621d6c4,45.0,1.0,0.0,0.0,0.0,0.0,0.0
d7cd9ff2781d4ace22802a7d41954494,45.0,1.0,0.0,0.0,0.0,0.0,0.0
d84e44f242c9d111cadbb3b772fc0c9c,45.0,1.0,0.1134900912875309,0.0,0.1134900912875309,0.0,0.1134900912875309
bc997e739edb2b60978ae4af405d220f,45.0,1.0,0.0,0.0,0.0,0.0,0.0
dd64eb1e76940256f46c19e03dad4868,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8c6f40119c7b386097293a2ed8add3b0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
be3c046bed3fe0197aa3391b1b9988df,45.0,0.0,0.0693910904228687,0.0,0.0693910904228687,0.0,0.0693910904228687
e4d9c7119058f18bd99270212e14a7e0,45.0,1.0,0.0,0.0,0.0,0.0,0.0
eb87086666a37c2e674e0a8923ec4fcd,45.0,0.0,0.0,0.0,0.0,0.0,0.0
be82220a4664786978bc7d5fe55f89a2,45.0,1.0,0.0198104009032249,0.0,0.0198104009032249,0.0,0.0198104009032249
d6714634c5721a8e0ca12c54c1d77faa,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8e4614e732978498bec7d6851b213af1,45.0,1.0,0.0,0.0,0.0,0.0,0.0
a2a3d9af7106d73aa0d65c2860a7f438,45.0,0.0,0.0,0.0,0.0,0.0,0.0
90cd7763440fb718c3cea2c582205cae,45.0,1.0,0.0,0.0,0.0,0.0,0.0
ff09fd343931d030ad6f472699c7923e,45.0,1.0,0.0,0.0,0.0,0.0,0.0
1626702531da3487c8df6459d215ca46,45.0,1.0,0.0,0.0,0.0,0.0,0.0
6fa653b28b73289c1103573299bd17b7,45.0,1.0,0.0088512285146862,0.0,0.0088512285146862,0.0,0.0088512285146862
b044b19cbc7a5bf3a773cea98664f1c3,45.0,1.0,0.0,0.0,0.0,0.0,0.0
00bb8dedf7ee4484444ede7d4f4bc0a9,45.0,1.0,0.0,0.0,0.0,0.0,0.0
40982cb7ebd30c2cdcc5fe8c992b5a84,45.0,0.0,0.0252545167168136,0.0,0.0252545167168136,0.0,0.0252545167168136
95a2af0fa5e23c89579d983b9b543bb0,45.0,1.0,0.0197209762409329,0.0,0.0197209762409329,0.0,0.0197209762409329
2651ec6e1e5c88509f2f0602c48dac58,45.0,0.0,0.0,0.0,0.0,0.0,0.0
4a00684ebdbf1c0f4a7a21f10562ef8c,45.0,0.0,0.0064174998551607,0.0,0.0064174998551607,0.0,0.0064174998551607
786fdeb7ae1b932d68277f7bce32fa5a,45.0,1.0,0.0583452982828021,0.0,0.0583452982828021,0.0,0.0583452982828021
8e475939abb6463469c57137594ce827,45.0,1.0,0.0,0.0,0.0,0.0,0.0
9fa9921fe361f506cac9fa092c2871e6,45.0,0.0,0.9532733932137488,0.0,0.9532733932137488,0.0,0.9532733932137488
df04fc6448adc7f59ee414825ebeb74f,45.0,1.0,0.0,0.0,0.0,0.0,0.0
077b238306750c86ff2e5740f6151baf,45.0,1.0,3.2760807322338223,0.0,3.2760807322338223,0.0,3.2760807322338223
20d0f68166ac2962462a181bdfd43a66,45.0,1.0,0.0,0.0,0.0,0.0,0.0
79925ce27b294c7d478be6a29a84c879,45.0,1.0,0.0,0.0,0.0,0.0,0.0
c8f87d78b8317ac38f68dd1395de7286,45.0,1.0,0.0,0.0,0.0,0.0,0.0
ff575d416ac8efb2b9ace04b8e4ace70,45.0,0.0,0.0,0.0,0.0,0.0,0.0
17afe84bae3a091b5c70eca661c41147,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2f65e6b2c191baaa13c45064441c16fd,45.0,1.0,0.0,0.0,0.0,0.0,0.0
5ecba482662dc566d6070dfb3c16b54d,45.0,1.0,0.0079546198248863,0.0,0.0079546198248863,0.0,0.0079546198248863
73fa3fb034200a3ab3cfa231cf7999cc,45.0,0.0,0.3797618150711059,0.0,0.3797618150711059,0.0,0.3797618150711059
