user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
0517592ee0374279ea7ab64df8f14450,40,1,(direct),(none),United States,,Android 13
25a3a9449a920af0df1a4be2a018b5b7,,,HEX (GA) - Globe #adROAS,cpc,Portugal,,Android 8.1.0
2f145656fe936ec95f61729e38534c8f,,,,organic,France,Google,Android 13
393dcec71b455cea6bf719c4d39947ad,,,HEX (GA) - Globe #adROAS,cpc,Argentina,,Android 14
4620d2cd44542e9f3ae762a3bcb54e8b,40,2,HEX (GA) - T1 #hybridROAS,cpc,Japan,,Android 14
4805aadf8ef37aa0b75c82a0b458811c,40,3,,organic,Italy,,Android 14
4985ea047fc85ae3170a01711c921237,40,0,,organic,Germany,Google,Android 13
531264d384d3a712931a5d30736a9325,40,0,HEX (GA) - Globe #adROAS,cpc,Canada,,Android 13
55bbdd2e169c77cbf18fc92f60caf235,40,2,(direct),(none),United States,,Android 14
9d87ecd735cd4207e4189419cf265910,,,,organic,Russia,,Android 14
a0f2ac61f9be4cb6e820b1cbea477085,,,,organic,Russia,,Android 14
a84ad49ea105dfc6bd2a95e8306bfffc,40,2,(direct),(none),Thailand,,Android 11
aa587216bfa5e1740b1f3ec2111a766f,,,HEX (GA) - Globe #adROAS,cpc,Indonesia,,Android 14
adfade8e4e1aa6720ce2289297fd9bb2,40,3,,organic,Indonesia,,Android 14
ae8d900798a7a36f77aeb26d5edf0ef6,,,HEX (GA) - Globe #adROAS,cpc,Mexico,,Android 12
b1dccce4149106269f8bd01cdcd54979,40,2,,organic,Russia,,Android 11
b306db458e080a38102ea1d959836c53,40,2,(direct),(none),United States,,Android 14
baccdf33ec473fcc679f5778bb7c3031,40,0,(direct),(none),Thailand,,Android 10
bec97884ba7c626586d1f6a4be0fdd33,40,1,,organic,Philippines,,Android 14
c965e61328eac0a14126d85a69fc81bf,,,,cpc,Germany,,Android 14
cafb9ef6689856db2cf5f794cbbf4672,40,2,,organic,Japan,Google,Android 14
cd6e4ec1241f9e0c74fafd5a3a145f5c,40,2,,organic,Venezuela,,Android 14
cff6628359e3f25466e45b6c80fa4e80,,,,cpc,Italy,,Android 14
d43ce24139859f2e4da0f8d89a78abac,,,,organic,Russia,,Android 14
d4c543eb75d4d88e03e695836cd4068b,,,,organic,United States,Google,Android 14
d98802606f1268a98529a1d5704aa314,,,,organic,Belgium,,Android 13
e535a02d2467b9c629d02068fc2a710f,40,3,,organic,Russia,,Android 11
e61eedb3c4ae8c1586ce65d71b6df9e0,,,,organic,Czechia,Google,Android 14
eda642bf938dc3a3e411210674c97229,,,,organic,Russia,,Android 9
eed1b2411f145211591577b858b18046,40,1,HEX (GA) - Globe #adROAS,cpc,Peru,,Android 14
f95afb7c75fc4fbc0408ac8d36b09673,,,,cpc,Germany,,Android 13
fff64f611274fe5fb760a2949bfe59bf,40,2,(direct),(none),Belgium,Nokia,Android 12
ca183bd16f72125a08e212585cbd9168,,,,organic,Philippines,Tecno,Android 12
13370fd4c7d476c3a6fa15e0a97c9a95,,,,organic,Russia,Tecno,Android 13
