user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
02636f1256cad0cffd010b85e333cad3,,,(direct),(none),France,,Android 13
184bdf540ea9b1ca719b307cbca2ba81,,,(direct),(none),Vietnam,,Android 14
2895693bd0016056d6f6dc4f5012bf77,,,,organic,Indonesia,,Android 15
28d4c93058af138ab50667c4a5f5dc54,,,,organic,United States,,Android 13
3bf8c6b01a46f1d6edd8e6fbe75e343e,,,,organic,Indonesia,,Android 15
3e1733c318c14e67c74dbd555ef11c6d,,,HEX (GA) - Globe #adROAS,cpc,Germany,,Android 13
479a3523add1baf69bf807873e429cdb,,,,organic,Germany,,Android 13
48d269433594cc72157156dd85c316c3,,,(direct),(none),Switzerland,,Android 15
4a99434b37d03a2ece3d2b88a09b88f9,,,HEX (GA) - Globe #adROAS,cpc,Mexico,,Android 15
4b58c063665a6c0e4f78167aaaacc684,,,(direct),(none),Japan,,Android 14
4c0a8c14be99e074c9388bb7be2db48c,,,(direct),(none),Germany,,Android 14
4e98b74222af680244d1b8c447e6d441,,,,organic,Brazil,,Android 14
519e58601b0f194a9b533fffca2f0697,,,(direct),(none),Russia,,Android 14
5f62e0070e2ecc11a0c7218003c2ec85,,,HEX (GA) - T1 #hybridROAS,cpc,United Kingdom,,Android 15
69d67aaf9c6db50b55caf7109e59534b,,,,organic,Russia,,Android 15
7870a3b508bdc5d28f42d127f5300d68,,,,organic,Austria,,Android 14
79c8613d7bb8a9539a69d8e20bc1e2c7,,,ig4a,,Canada,,Android 15
804983b48ab8d71db91be2c620d403f6,,,,organic,Russia,,Android 8.1.0
87decb397cf72410e0a99baf5ed4d471,,,,organic,Romania,,Android 15
8f8bc0c3e286e29e3adcc6f105ff5345,,,HEX (GA) - T1 #hybridROAS,cpc,Japan,,Android 15
924b02b38c43d787b5bc0cb136f0d861,,,,organic,Malaysia,Google,Android 14
9a6ef2f321e914323fc186115240c560,,,,organic,Russia,,Android 8.1.0
a27f77ee496081603064deb272028817,,,,organic,United States,Google,Android 13
af56e944fdbabfcf99ee5166892d396f,,,,organic,France,,Android 15
b10dd41db944c758b026e8104d4a7ae3,,,(direct),(none),Indonesia,,Android 13
b7eaadad91937b4ca895314c31630b80,,,(direct),(none),Russia,,Android 13
bfc5ccfae44cf9db4d068506558086db,,,,organic,France,,Android 13
c1cf599580ee2df39d1b3940f618c786,,,,organic,Russia,,Android 14
c3e02fd611e131133abd52583391d987,,,(direct),(none),United States,,Android 14
c517ef1652960c4015b9ff164bd90d5a,,,(direct),(none),Sweden,,Android 15
cbc0d942edce88bfd831f37dad49bd95,,,,organic,United Kingdom,,Android 14
f20c7a4eb1a4fec36b800a13aba7fadc,,,,organic,Russia,,Android 12
fee26c93999b101cc2b974628cb3f4cd,,,,organic,Mexico,,Android 14
38516f45c2b60aa9f3aa606a61090b9a,,,(direct),(none),Belarus,BQ,Android 8.1.0
ab799a9b66fc4636fd736dfd239fcba4,,,(direct),(none),Vietnam,Vivo,Android 11
2c005df63a9a3c0528bb00692276610c,,,HEX (GA) - Globe #adROAS,cpc,Philippines,Vivo,Android 11
376c37f16be59a9771a6ac2e5749791c,,,,organic,Brazil,Xiaomi,Android 13
6e506df61f58785307de289fa867c75f,,,,organic,Russia,POCO,Android 12
4fffeedaf301b56c3ee5c50f1e4e1d2b,,,,organic,Ukraine,Xiaomi,Android 11
cf1b5ce6197676d5709bcc2c27199746,,,(direct),(none),Russia,Xiaomi,Android 13
75674ca558a63782c5c9fac3dac4441e,,,(direct),(none),Vietnam,Xiaomi,Android 14
8a103e1c10dd1efb431bb585f043f5d3,,,HEX (GA) - Globe #adROAS,cpc,Uzbekistan,Xiaomi,Android 14
af0fb3eeef4a1736238086f661de05df,,,,organic,Saudi Arabia,Xiaomi,Android 14
325c7a274f1aebb54076a023b6558d05,,,,organic,Myanmar (Burma),Xiaomi,Android 12
9a3183a2eea7409585f5d8b312ef4361,,,,organic,Russia,Xiaomi,Android 13
4b4e3756a1604b8277790b9f38329ac4,,,HEX (GA) - Globe #adROAS,cpc,Italy,Xiaomi,Android 14
750db276e35077fd3e14944b1abb875c,,,(direct),(none),Vietnam,Xiaomi,Android 12
b99d23cd3f5dbfd8bae7066fe6fa93b2,,,,organic,Russia,Xiaomi,Android 14
198f78f02e946a2cb62a061b687693d8,,,,organic,Iran,Xiaomi,Android 11
4ad40a1d5bbbf7091ba24536665544fd,,,(direct),(none),Türkiye,Xiaomi,Android 12
e66f4de0708fb62364bc112ad17c61a6,,,,organic,Indonesia,Xiaomi,Android 13
b8305a4cd459917691c1afb769fcc5ad,,,,organic,Russia,POCO,Android 14
ebbf17b9c13506edbce4d0faefba9909,,,,organic,Russia,Xiaomi,Android 13
f18e577e8602bb23bce0a56b4420189b,,,,organic,Russia,Xiaomi,Android 13
28e016e5eea8c48a1e930e6ddabdaa70,,,HEX (GA) - Globe #adROAS,cpc,Israel,Xiaomi,Android 13
4fed9f0260a64f8c4af4ba59758d99e6,,,(direct),(none),Iran,Xiaomi,Android 13
5f0cdafdec82cb7d3afb2bb8eaed5c63,,,,organic,Russia,Xiaomi,Android 13
649f1dbf2b539c0a18604dc7f11972c4,,,,organic,France,Xiaomi,Android 13
b7cc425f0a08f1347dec1fa457762cea,,,,organic,Russia,Xiaomi,Android 13
dfe3b16acb6cfc2f8b85b8b3a9fede84,,,,organic,Nicaragua,Xiaomi,Android 13
5a1a55b8cd444a4bd7437e29338f559b,,,(direct),(none),Russia,Xiaomi,Android 13
9f0d822c441f65a17af67fe400e0cb58,,,,organic,Poland,Xiaomi,Android 12
99617332b490c1e15e485f5e302956ea,,,(direct),(none),Kazakhstan,Xiaomi,Android 13
bb4da3cab1df963d682f891855c0bd75,,,,organic,Russia,Xiaomi,Android 13
cfbd9be2c3d322069c8537c8769e2767,,,HEX (GA) - Globe #adROAS,cpc,Kazakhstan,Xiaomi,Android 13
9c0531eb6280179c6116e6b0745939b6,,,(direct),(none),Netherlands,POCO,Android 13
c04a12936266e778ba1d751615b20640,,,(direct),(none),Indonesia,POCO,Android 11
c7e4c973f15bd563ff81ee84a5d04647,,,HEX (GA) - Globe #adROAS,cpc,Bosnia & Herzegovina,POCO,Android 13
f5623e83fcbdca950461de0ca6f051fb,,,(direct),(none),Vietnam,Xiaomi,Android 13
d6abaebdb54e1cfe6f6a622337298f02,,,HEX (GA) - Globe #adROAS,cpc,Brazil,Xiaomi,Android 13
2ce9975f7de8f89c3f82cac95172781f,,,,organic,Ecuador,Xiaomi,Android 13
8eef2ac2d7161d0f64f9e8c8eb7adb62,,,(direct),(none),Taiwan,Xiaomi,Android 11
e3f857785ddc5b23f348e888cbd0d0b0,,,,organic,Russia,Xiaomi,Android 13
960e8bcf1525ba0758fcca379d6a0c90,,,HEX (GA) - Globe #adROAS,cpc,Uzbekistan,Xiaomi,Android 13
cc51883c75e6773122c8f9b7a44940a4,,,,organic,Peru,Xiaomi,Android 13
e1cece3d1e307d25c8676c709095360c,,,(direct),(none),Thailand,Xiaomi,Android 13
16f4c3c99ca44ff7cf63040883de5ea3,,,(direct),(none),France,Xiaomi,Android 13
264b582b675154a53457f9d1c88b4c41,,,HEX (GA) - Globe #adROAS,cpc,Morocco,Xiaomi,Android 11
6099a46daf74c8664442a2854bfdc334,,,HEX (GA) - Globe #adROAS,cpc,France,Xiaomi,Android 11
7a45f831b0e03a8ee890f289b2562467,,,,organic,Russia,Xiaomi,Android 13
dd71c0f74666c6a93b5a7cd94c42a5e6,,,(direct),(none),Russia,Xiaomi,Android 12
5114a125913a804087fb186dba335e6d,,,(direct),(none),Russia,Xiaomi,Android 11
69e7dc90469295f9a4ae571a8bd978b2,,,,organic,Russia,Xiaomi,Android 11
d33d59ffb33d007b64f8e6a39cc52497,,,,organic,Russia,Xiaomi,Android 14
63a6c0a905166851deb5c9e4dce42278,,,,organic,India,Xiaomi,Android 14
fe24973653102481c7fd523473f41ecd,,,(direct),(none),Indonesia,Xiaomi,Android 12
644aeacde735475ce2d04bdef35d719d,,,HEX (GA) - T1 #hybridROAS,cpc,Germany,Xiaomi,Android 14
067706a70cefe2e86bb26f33d52dd196,,,HEX (GA) - Globe #adROAS,cpc,Spain,Xiaomi,Android 13
112ce6a52fd0c91b52c6edb0a7dc64e3,,,(direct),(none),Vietnam,Xiaomi,Android 13
73f6092c237fd3568e866f2be3f29fe5,,,,organic,Belarus,Xiaomi,Android 13
ae48e43ad06b78114d1d8b6bd9c04e70,,,(direct),(none),Switzerland,Xiaomi,Android 13
edbd9fd6d73cd809bc620a11a2ca7073,,,,organic,Ukraine,Xiaomi,Android 13
502812dac62f8f004185150b4d785e1e,,,(direct),(none),Brazil,Xiaomi,Android 14
8e9d83bb3a0680151c16c821fdf5b3db,,,HEX (GA) - Globe #adROAS,cpc,Poland,Xiaomi,Android 14
0d564a47af1a2f0debb8713405293b50,,,HEX (GA) - Globe #adROAS,cpc,Poland,Xiaomi,Android 14
1f8bcff1503eea9827bb18582418da84,,,(direct),(none),Germany,Xiaomi,Android 14
5f7e76de2c3b01d69ba82dbaa668b0fb,,,(direct),(none),Brazil,Xiaomi,Android 14
b53fbeb40ce4cf59ad9d2cdaad87d11d,,,,organic,Russia,Xiaomi,Android 14
b7c794963f7b3d4215d18f76c42ac98c,,,,organic,United Kingdom,Xiaomi,Android 14
2de2e27f470cf2241ddaaaaeed207912,,,,organic,Brazil,Xiaomi,Android 14
95402b14c17ead20bffc86d5c58e7fb8,,,HEX (GA) - Globe #adROAS,cpc,Brazil,Xiaomi,Android 14
f47bb84f21379423be0bf6a42c554d31,,,,organic,Russia,Xiaomi,Android 14
5d100d27db8e3efda4192b617fe0a060,,,(direct),(none),Russia,Xiaomi,Android 14
8e5642c1639a0940af441cad13c4e575,,,,organic,Russia,Xiaomi,Android 14
010df653b3da7480b6114cae7544af66,,,,organic,Russia,Xiaomi,Android 13
4af6c5b7dff591d8f9f650b0933a6987,,,,organic,Russia,Xiaomi,Android 14
eefe147860e8934c933960db7ecfcc97,,,,organic,France,Xiaomi,Android 14
abd390ecc2dc604c31972eb194da665a,,,HEX (GA) - Globe #adROAS,cpc,Peru,Xiaomi,Android 14
d152492a678bdd5ba156a44f9ff014dc,,,,organic,Iran,Xiaomi,Android 13
de4961f1d7864197469264d9a9fdf42d,,,,organic,Uzbekistan,Xiaomi,Android 13
ba67f5d3ca771c04f2b40b79c732a8b5,,,HEX (GA) - Globe #adROAS,cpc,Belarus,Xiaomi,Android 14
4eb8ac26a2b378ad0ee8e8a88c2374a5,,,,organic,Russia,Xiaomi,Android 14
9f78280d3b9ed76c75be94f826c8b484,,,HEX (GA) - Globe #adROAS,cpc,Israel,Xiaomi,Android 14
52dfe4ac7ced6c208b5e2a0f99cdfc1c,,,HEX (GA) - Globe #adROAS,cpc,Indonesia,Xiaomi,Android 15
5a6d10cfbbf39b067d3efd772b5ab4e4,,,,organic,Russia,Xiaomi,Android 15
