user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
0efb8495fa1db310d5278a854cfe6d31,45,1,HEX (GA) - Globe #adROAS,cpc,Kazakhstan,,Android 9
2bf03cad256c0760384c3521feaceb5a,45,0,(direct),(none),South Korea,,Android 14
374e6c36598824ffd9764c5de2b452e2,45,0,HEX (GA) - Globe #adROAS,cpc,Moldova,,Android 13
445653f4467d926abb56491f0d1f8602,45,0,,organic,Russia,,Android 14
75b1decb7ccb2fa9f623900daafe4693,45,0,,organic,Russia,,Android 12
9b96af690c67d1256a5b902bf27452b2,45,1,HEX (GA) - Globe #adROAS,cpc,Türkiye,,Android 8.1.0
a19d579b997b7399b226744f80a95264,45,1,,cpc,France,,Android 14
aa04fed7977136dbcaeeb591358cd3f9,45,0,HEX (GA) - Globe #adROAS,cpc,Italy,,Android 15
f5eb281ec81e6a3b9bb96b868d07fa12,,,,organic,Serbia,Google,Android 14
1503efa1ebc98dcd7c415dcd7e7b7b65,45,1,,organic,United States,ONN,Android 14
b5701fc6d20d7a5b9c5b947d0da8f272,45,1,,organic,Myanmar (Burma),Vivo,Android 8.1.0
bd21c8ce771fc1b724caa08ceaca0008,45,1,(direct),(none),Indonesia,Vivo,Android 8.1.0
6e941182bfa56aa444c8708938f22dee,45,0,HEX (GA) - Globe #adROAS,cpc,Indonesia,Vivo,Android 9
bcb602300792e3b09175469f62bda891,45,0,,organic,Philippines,Vivo,Android 11
8e75e748d0e75e5d02abae0bab215bf9,45,1,HEX (GA) - Globe #adROAS,cpc,Indonesia,Vivo,Android 11
891ff69775564c587d103dd5cb2441f9,,,,organic,United Kingdom,Xiaomi,Android 11
01a8abf6d2534cba036936bea79be162,45,0,,organic,Venezuela,POCO,Android 13
4b7046ebb8032e84199a3c8025feb272,45,1,,organic,Portugal,Xiaomi,Android 13
4fbbcecf4111e5e68c406b6c8133e19f,45,0,(direct),(none),France,Xiaomi,Android 13
cf61260c452a56a5836ecb1022105b2e,45,1,HEX (GA) - Globe #adROAS,cpc,Romania,Xiaomi,Android 13
510af9350a180b3e38f6e4cf60832cf0,45,0,HEX (GA) - Globe #adROAS,cpc,Poland,Xiaomi,Android 14
4ac18b9a4d45ebbf052cc696f9b53e4b,45,1,HEX (GA) - Globe #adROAS,cpc,Peru,POCO,Android 13
8e788b67ce40a1285660922e569a6bf2,45,1,,cpc,Austria,Xiaomi,Android 13
f708a6c9e79f6b5378356bde0c78d34c,45,0,(direct),(none),Russia,Xiaomi,Android 11
2328535d2ffe12a79a8d0954776dfc83,45,1,,organic,Ecuador,Xiaomi,Android 14
5e3330d2cc51d72180c5d233e712fc01,45,0,,organic,Russia,Xiaomi,Android 14
aaac4e442fcc597a364d353706d46483,45,0,,organic,Portugal,Xiaomi,Android 14
bda4c921589d7491cadea280b9d125f2,45,0,,organic,Russia,Xiaomi,Android 13
d2f0a34ee26de38b4ba3e75981996f84,45,1,,organic,Belarus,Xiaomi,Android 14
90b61031ba0c6de9ab48bfa84bab364a,45,0,(direct),(none),Russia,Xiaomi,Android 13
7d7d7a3a19239a5a0a448cb8ab0e077b,45,1,,organic,Russia,Xiaomi,Android 13
a7388febc21addd09040b564a9a32a7d,,,,organic,Russia,Xiaomi,Android 13
4c07bdbc4b5bce343fe4ace9f521fa19,,,,organic,Belgium,Xiaomi,Android 13
537a38c7cff6cece18b39724fb6dcdd1,45,1,HEX (GA) - Globe #adROAS,cpc,Poland,Xiaomi,Android 13
fa3ee52ec411033ba7db5083cacf0e2c,45,1,HEX (GA) - Globe #adROAS,cpc,Thailand,Xiaomi,Android 13
1347aa40e39e45295e86699eb0c99da2,45,0,,organic,Hungary,Xiaomi,Android 13
6c323eca1c85485fbf97902ea57e27f3,45,1,,organic,Russia,Xiaomi,Android 13
7677fd14494183a733c3c226001bd7d5,45,0,,organic,Poland,Xiaomi,Android 13
c8525269e15caa41ab2b89c41921fbbb,45,0,,organic,Brazil,POCO,Android 13
4b0bdf884aa14b1fa428236b1a7e43cf,45,0,,organic,India,POCO,Android 13
1d524051925f99c4e78007c4b9a659ed,45,1,HEX (GA) - Globe #adROAS,cpc,Azerbaijan,Xiaomi,Android 13
2943bc527c94be9a7eb5f382635ed9ec,45,1,HEX (GA) - Globe #adROAS,cpc,Poland,Xiaomi,Android 13
1321e23242ef4cb45cba897c91ddb0f8,45,0,,organic,Russia,Xiaomi,Android 13
1a8683e65e8277a6937d3f1f1a6f9f84,45,1,,organic,Russia,Xiaomi,Android 13
e8cd402a772858ee3605d9fcc7836da4,45,1,HEX (GA) - Globe #adROAS,cpc,Ukraine,Xiaomi,Android 13
7a1841951f1430fafd205fc250b7a1ca,45,1,HEX (GA) - Globe #adROAS,cpc,Brazil,Xiaomi,Android 13
d407231b687f676528f042536335f443,45,0,,organic,Brazil,Xiaomi,Android 13
010f77e12187f4a9033740934654966a,45,0,(direct),(none),Spain,Xiaomi,Android 13
6e290215604fd0c5970a7778560f6215,45,0,HEX (GA) - Globe #adROAS,cpc,Colombia,Xiaomi,Android 13
2864eb3a623a2a4801df3ea6a4977e65,45,1,HEX (GA) - Globe #adROAS,cpc,Hungary,Xiaomi,Android 13
38977109bc9958d82fc0f865166cdbf9,45,1,HEX (GA) - Globe #adROAS,cpc,Austria,Xiaomi,Android 13
466fac290b773a10a2e61dbeb0adafe1,45,1,HEX (GA) - Globe #adROAS,cpc,Greece,Xiaomi,Android 13
cec16deba36705217ac0562e3453c2cc,45,0,HEX (GA) - Globe #adROAS,cpc,Portugal,Xiaomi,Android 13
c2ce14f25c5f20178e77860b25152b72,45,1,HEX (GA) - Globe #adROAS,cpc,Chile,Xiaomi,Android 14
3871a180b85c99e9b467ffcdc52a3a82,45,1,,organic,Philippines,Xiaomi,Android 14
af1aa84df93c3bd7e0295f3af8971698,45,0,,organic,Philippines,Xiaomi,Android 11
548cc85c6a7859c3587da11b1e73f047,45,0,(direct),(none),Venezuela,Xiaomi,Android 13
507c471b16c7a3a90c8be1f3f1a0c34d,45,0,HEX (GA) - Globe #adROAS,cpc,Moldova,Xiaomi,Android 13
7aa29241cc953b8202ec8826b57551c3,45,0,,organic,Russia,Xiaomi,Android 12
ef658fcf73c421b2286a6dc6720d0519,45,0,HEX (GA) - Globe #adROAS,cpc,Kazakhstan,Xiaomi,Android 12
e6b47c59143bd79169e7addaebb189c8,,,,organic,Russia,Xiaomi,Android 14
ead71c727c64ddc0d6cab81dff647365,45,0,,organic,Ireland,Xiaomi,Android 14
c3f589ef020b6c1e0ce45e8814a0bc6c,45,0,,organic,Spain,Xiaomi,Android 14
f41ef76e687e956098d7e100e1a38e60,45,1,,organic,Russia,Xiaomi,Android 14
35f4415a1b30058a2ea90f28ad58c5da,45,1,(direct),(none),United States,Xiaomi,Android 12
bceed792a92f402a3317fcd3316923c5,45,1,HEX (GA) - Globe #adROAS,cpc,Ukraine,Xiaomi,Android 14
08a2fd2825f0de867723aa7e60f4d363,45,1,,organic,Indonesia,Xiaomi,Android 11
4a3479eef5f244df98f561879f977bff,45,0,,organic,Ukraine,Xiaomi,Android 13
8051ac91106ba565371c823da2e20639,45,1,,organic,Italy,Xiaomi,Android 13
11aa55fb3fd9aa7fd1024f0396e41ca9,45,0,HEX (GA) - Globe #adROAS,cpc,Cambodia,Xiaomi,Android 14
71d750b0294cfd4d7fbbe41edf96b418,45,1,,organic,Poland,Xiaomi,Android 14
10eb494b9a2d20493c5399d37977fcda,45,1,(direct),(none),India,Xiaomi,Android 12
6d689a88beb1d926002ae33cd78e057a,,,HEX (GA) - Globe #adROAS,cpc,United States,Xiaomi,Android 14
539221806fdd8d4a6d48c8c31b72258f,45,1,(direct),(none),Russia,Xiaomi,Android 14
d9cf620c1b6147f6330acb11b94528ef,45,0,,organic,Brazil,Xiaomi,Android 14
6d451a4ed272a7b18923ac5ff7d644d2,45,1,,organic,Vietnam,Xiaomi,Android 12
a9d4a5d1b612f9e25f3b9135f5f9ebbd,45,0,HEX (GA) - Globe #adROAS,cpc,Egypt,Xiaomi,Android 14
de4e462a827684d7a99ac22f85b3b3b9,45,1,,organic,Russia,Xiaomi,Android 14
f6e03efd6f0ab8a39c91d8ea3462c6ba,45,0,,organic,Türkiye,Xiaomi,Android 14
59c5be452096beea41bdd43a57df95ef,45,0,,organic,Réunion,Xiaomi,Android 14
29252e0cec6364872c87647f51110b51,,,,organic,,Xiaomi,Android 15
5ebd7c3531f56905c90678b7e4cfd0dd,45,0,(direct),(none),Russia,Xiaomi,Android 15
2f0c0074e65ed3ae49a8f3fc2be3b267,45,0,HEX (GA) - Globe #adROAS,cpc,Uzbekistan,Xiaomi,Android 15
723499d35def033644f2aa33bf7c0a07,45,0,,organic,United States,Xiaomi,Android 14
f51cc5b13f159d87eb96f51d8e5bd284,,,(direct),(none),Iran,Xiaomi,Android 15
176592d329e0c303f357f9649d9cf40e,45,1,,organic,Russia,Xiaomi,Android 13
8352f79c038aaaf850f73dd152f519a1,45,0,,organic,Spain,Xiaomi,Android 14
05034b205153bcca6d2e0965569decf3,45,1,,organic,France,Xiaomi,Android 14
ac1003c3c069c10033654272421e19b7,,,,organic,Russia,Xiaomi,Android 14
acdb97e32bac9621a53e92f4d0ff2d0f,45,1,HEX (GA) - Globe #adROAS,cpc,Russia,Xiaomi,Android 14
dffc0dd12a766473bd376c3dd51d9d99,45,0,HEX (GA) - Globe #adROAS,cpc,Spain,Xiaomi,Android 14
fab8ad7fa44215f8652631e0d34f3fb4,45,0,,organic,Türkiye,Xiaomi,Android 14
015d3b6aec919ca5ae497dd3b25a4935,45,0,,organic,United States,Xiaomi,Android 15
b50074ece0e1a4799205c52f5ba8b1f0,45,0,,organic,Russia,Xiaomi,Android 14
675e9831eacd29eca7ff40dc6b0d1fb7,45,0,,organic,Russia,Xiaomi,Android 13
1dea5862f7f5ca4852e7771f3a8ca63a,45,0,HEX (GA) - Globe #adROAS,cpc,Israel,Xiaomi,Android 13
336cab836e5c49caf2db31b81293f22d,45,1,,organic,Russia,Xiaomi,Android 14
edb0de5b2af1025d820cc78fc82bd0b7,45,0,,organic,Ukraine,Xiaomi,Android 14
5e399bd940cf2e50ca67e2aca3486b2b,45,1,HEX (GA) - Globe #adROAS,cpc,Thailand,Xiaomi,Android 14
7cc8b602e459a9555803278675341f2b,45,0,HEX (GA) - Globe #adROAS,cpc,Dominican Republic,Xiaomi,Android 15
207c6d529fef79dffe836322b055ef17,45,1,HEX (GA) - Globe #adROAS,cpc,Chile,Xiaomi,Android 15
