user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
0d7408709802866a6d5930aa32cbcfbf,46,1,HEX (GA) - Globe #adROAS,cpc,Canada,,Android 13
0f33bdb4e40384c8abe69bf82d238657,46,0,,organic,Poland,,Android 15
1f33d12016970fa12a461043d226870d,46,1,,organic,Netherlands,Google,Android 13
2d2f23a80dce58f414da61317b17110b,46,0,HEX (GA) - Globe #adROAS,cpc,Romania,,Android 10
35a4458a80441c0f6f93617737278e46,46,1,,organic,United States,Google,Android 14
42dcf189de21b9566a7fa387ce7dcc9b,46,0,,organic,Japan,,Android 14
46a9a6a362f18f83c997854c07875e4e,46,1,,organic,Russia,,Android 15
607793a745c9a37b745cb083f4d2f66d,46,0,,organic,Philippines,,Android 15
7de0b92ecca9977f287f3242c5ede36b,46,0,,organic,India,,Android 15
a2f4633b95d54c2bb9030490d8011181,46,1,(direct),(none),Canada,,Android 12
a618a3e120a944952f5efad79e8db84c,46,1,,organic,France,,Android 13
a73f14f44150274f010a26b222a02a7f,46,0,(direct),(none),Poland,,Android 14
aa20740ac2bb7e433eeecf0092b6cde5,46,0,,organic,Russia,,Android 8.1.0
d4ec5b32b346efd4690ce323147d6ccb,46,0,(direct),(none),Poland,,Android 15
db8b599fd286462cbc31278935ce3db6,46,0,(direct),(none),Germany,,Android 14
dba57d7a68223432abd21439ae342606,46,0,,organic,Serbia,,Android 14
ebd92543f85e4584f5cbdc26c1aa01b1,46,1,,organic,Czechia,,Android 14
eee104f8d0653e61fe50c48e36a57a63,46,1,,organic,France,,Android 12
fcf2ef850aec308ad0e3eef1b2a8775a,,,,organic,Poland,,Android 15
fe718bb695d1964c7c1ae88b3ee8fa08,46,0,,organic,Russia,,Android 13
79d542ed3e02f20682d0dc95947cbfab,46,1,HEX (GA) - Globe #adROAS,cpc,Japan,NEC,Android 10
7457cc3d9b950b3e339a215562e4476d,46,1,HEX (GA) - Globe #adROAS,cpc,Thailand,Vivo,Android 11
1f9bcf5f1d5ac3590da4feff76833365,46,0,,organic,Ukraine,Xiaomi,Android 12
7f3b68e90fc92d0fac4ffe052df614d7,46,1,,organic,Russia,Xiaomi,Android 13
8f6d71faaa322d8a2db4186e9ea65caa,46,0,HEX (GA) - Globe #adROAS,cpc,Brazil,Xiaomi,Android 14
97c648c1625ed7811d0d11ecafabf7a8,46,1,(direct),(none),Poland,Xiaomi,Android 12
aa0893e570450f4f0e629fab81c96c53,46,1,,organic,Russia,Xiaomi,Android 14
e29f9a7117cce35fb77ec122217f62ca,46,0,,organic,India,Xiaomi,Android 14
65de9e72e05666ecc46a12f0a7fae366,46,1,(direct),(none),Greece,Xiaomi,Android 14
7e2bf824e48aa1ababdbdc2df5812268,46,0,,organic,Brazil,Xiaomi,Android 14
