user_pseudo_id,experiment_number,experiment_group,name,medium,country,mobile_model_name,operating_system_version
065007907e52819e1f26ef81a979e853,45,0,,organic,United States,,Android 14
0c7baef90a631356ea77e3dd4f53b55b,45,1,,cpc,Bulgaria,,Android 15
16fc6b1eecb529a8349c3e1ee9bcde96,45,1,,organic,Taiwan,,Android 15
18d42cf2eb6346e7594d74e78f0e0046,45,1,,organic,Germany,,Android 13
19e4efcf3d108067573d3cd0dcf943a6,45,1,,organic,United States,,Android 13
31c6893658f8123d221e81ac8c9b87bb,45,1,,organic,Kazakhstan,,Android 14
48fc2c312ec304d33a1e62def18fdbc2,45,1,,organic,Russia,,Android 15
50eaa585ed1ecc6a68c3e39eda30c88b,45,0,HEX (GA) - T1 #hybridROAS,cpc,United States,,Android 14
5e58038ac6263a5fa7339c7bf5cb4c62,45,1,HEX (GA) - Globe #adROAS,cpc,Morocco,,Android 14
6c4448bd8ecec636c002738f1d5d3328,45,0,,organic,Russia,,Android 8.1.0
739cb463a85fb6d784f501167b70687a,45,1,,organic,Russia,,Android 14
7af19b57fee32cf12570dbfc647b315f,45,1,HEX (GA) - Globe #adROAS,cpc,Belarus,,Android 11
7d3e9c55d10dc80ac91d6f5aa01f7531,45,1,(direct),(none),Germany,,Android 14
7d5ef6243e2076792a9a9a26cc1dbd90,45,0,HEX (GA) - Globe #adROAS,cpc,Chile,,Android 14
8123902374f2e0629fa618e1152a8d61,45,1,HEX (GA) - Globe #adROAS,cpc,Armenia,,Android 14
8686d439fde2508c71b92349bc1a18b0,45,1,,organic,Russia,,Android 8.1.0
91478105aadeb1aeeaf799f4d04825cd,45,0,,cpc,United States,Google,Android 13
98104ed82f61657a3fd2c8f5181e72fd,45,1,,organic,Ukraine,,Android 15
999bfa11ea6f070899c4c73ffac055a0,45,0,,organic,Russia,,Android 11
a62b76ba15c1a415832eeb9fc764ee3f,45,0,HEX (GA) - Globe #adROAS,cpc,Lithuania,,Android 15
af27b92a93facad3e07f8a489c46ab0d,45,1,HEX (GA) - Globe #adROAS,cpc,South Korea,,Android 15
af5413adb59fe3e096ea631e0a2af0e4,45,1,,organic,Russia,,Android 11
be57ea890662364158ccf80a55769a44,45,1,,organic,Hungary,,Android 15
c756a8903bfebcbd5c2db6fa1402d3e5,,,,organic,United States,,Android 13
cc6483e55599c8f0605ac69788b78946,45,1,HEX (GA) - T1 #hybridROAS,cpc,Japan,,Android 14
d2afe48fb3516994cf5fbaa377d65d44,45,0,HEX (GA) - Globe #adROAS,cpc,Colombia,,Android 14
e5ff2069e192e9bf9e96d9b6d4df3c2d,45,1,,organic,Uzbekistan,,Android 10
f22e0a4117d27e3457be7fa0a2d577f3,45,0,HEX (GA) - Globe #adROAS,cpc,Argentina,,Android 12
89ca7ad596a34816bcd8183d1700e5dc,45,0,(direct),(none),Indonesia,Vivo,Android 11
1369e72f998f6d2bdb8bc451c76225df,,,,organic,Indonesia,Vivo,Android 9
4562474fa515a0bd9f6f6cfea6fe4d00,45,0,,organic,Philippines,Vivo,Android 9
c9011bcaf6faefe46b66820a526fd269,,,,organic,Myanmar (Burma),Vivo,Android 9
20e4b65a49804c64421224fb921937ed,45,1,HEX (GA) - Globe #adROAS,cpc,Philippines,Vivo,Android 11
73dc898e0b98f0293d2d8d79fdd67547,45,1,HEX (GA) - Globe #adROAS,cpc,Thailand,Vivo,Android 13
16b6dccbd3562e4dceea850643832072,45,0,,organic,Russia,Xiaomi,Android 13
a1eff6b42d249843bdd0051b60aebdb4,45,0,,organic,Russia,Xiaomi,Android 13
79d44f7812f1f951c5171464406f9c09,45,1,HEX (GA) - Globe #adROAS,cpc,Argentina,POCO,Android 13
